| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  41   |  696  |  116  | +8.9900e-05 | 3.39e-01 | 1.85e-03 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  42   |  708  |  121  | +7.8472e-05 | 3.39e-01 | 1.15e-03 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  43   |  720  |  128  | +6.7566e-05 | 3.39e-01 | 8.53e-04 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  44   |  720  |  128  | +6.7566e-05 | 1.69e+00 | 8.74e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   0   |
|  45   |  732  |  135  | +6.0858e-05 | 1.69e+00 | 1.07e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  46   |  744  |  139  | +5.8687e-05 | 1.69e+00 | 6.51e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  47   |  756  |  146  | +5.1746e-05 | 1.69e+00 | 1.85e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  48   |  768  |  148  | +5.0464e-05 | 1.69e+00 | 1.07e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  49   |  780  |  156  | +4.0292e-05 | 1.69e+00 | 5.04e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  50   |  792  |  164  | +3.6526e-05 | 1.69e+00 | 1.38e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  51   |  804  |  165  | +3.6126e-05 | 1.69e+00 | 5.55e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  52   |  816  |  167  | +3.5614e-05 | 1.69e+00 | 4.83e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  53   |  828  |  171  | +3.4358e-05 | 1.69e+00 | 8.83e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  54   |  840  |  172  | +3.4087e-05 | 1.69e+00 | 4.95e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  55   |  852  |  177  | +3.0225e-05 | 1.69e+00 | 7.16e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  56   |  864  |  185  | +2.1392e-05 | 1.69e+00 | 1.78e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  57   |  876  |  188  | +1.9734e-05 | 1.69e+00 | 1.11e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  58   |  888  |  196  | +1.0004e-05 | 1.69e+00 | 1.00e-03 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  59   |  900  |  198  | +9.3888e-06 | 1.69e+00 | 3.52e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  60   |  912  |  205  | +3.1574e-06 | 1.69e+00 | 3.24e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  61   |  924  |  214  | +1.0348e-06 | 1.69e+00 | 6.75e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  62   |  936  |  215  | +9.3855e-07 | 1.69e+00 | 1.15e-04 | 0.00e+00 | 1.00e+00 |  2.00e-04   |   4   |
|  63   |  936  |  215  | +9.3855e-07 | 8.46e+00 | 1.15e-04 | 0.00e+00 | 1.00e+00 |  4.00e-05   |   0   |
